	Sample.1	Sample.2	Sample.3	Sample.4	Sample.5	Sample.6	Sample.7	Sample.8	Sample.9	Sample.10	Sample.11	Sample.12	Sample.13	Sample.14	Sample.15	Sample.16	Sample.17	Sample.18	Sample.19	Sample.20
HIT 527	52.1755905729412	35.2626227686194	57.6355898391091	67.6734397508885	58.9585483154047	50.0772717822535	42.8361907795139	35.2389821416715	50.17849650188	45.2270074249994	51.8398753603959	37.7287096945624	37.297332075942	38.5902248305756	40.1870071088681	46.6032586070083	70.9835032890036	63.0734174386389	40.1034741819077	40.6583249749203
HIT 5270	3468.78025982254	678.523437621454	2273.01678178968	50.5799473561956	309.778799272714	47.9610914748257	89.5648159251202	35.6967267159827	4541.59563515274	238.549228936107	943.150588326401	3112.23446574174	39.9897387881774	37.2566269664004	44.3023959354271	39.3364906411882	302.548111128413	2147.42587825706	42.315926934531	5734.96257413633
HIT 5275	820.24690103181	473.991424120935	1653.80034437972	131.87597818856	61.0121466494777	45.4216403738083	798.132644876845	45.5689315136993	196.87814763389	59.4639451545545	55.6884146183995	143.563714484531	38.913743562499	36.5885200946774	55.5098148652685	42.3389123653675	179.205187409935	59.7866489114656	44.0855786331371	807.794376889339
HIT 5276	74.80456904019	73.5382232230186	73.9881478335626	65.4622868229658	45.4131124322038	40.5872521929658	121.732713078376	34.9928310489471	348.336607875935	75.7684054492257	46.7049810066508	36.1627587527435	37.9211473384076	35.5773383408966	45.5662011680844	44.8141887409548	75.4006800676162	45.3243581662137	39.5877771029133	51.0226877046764
HIT 5277	46.9894476119702	37.7158979144454	66.6600893637047	58.0282782578922	47.3047824153796	46.3829570070047	38.5757977320354	37.097646773262	49.2474121044103	40.7237230281038	46.9380757332608	35.6779546210031	37.3175393990513	35.7241480115365	47.117992234722	40.7713908255759	71.9136005517892	44.2939060783221	40.2584001333988	42.8212164826513
HIT 5280	87.7025516646751	276.037792013181	116.365975420072	54.1577273313898	87.0220096163135	48.599297492204	76.5019414326293	34.2152419679741	53.792876825472	41.1040849179902	51.6656619606808	48.2864902569786	37.9331268161727	37.3718150453243	43.0461421419869	42.0354454263304	146.861461515941	44.2891455405629	43.357479099307	217.189515760287
HIT 5281	39.8353346934256	53.6441708194825	67.9898595043111	43.3555399020251	47.1418229960317	42.6627955249499	36.1751892498292	35.2335512779929	49.4408811957641	41.4049767269677	43.8290325168371	36.1621856009923	37.2109248865039	36.1702390253817	43.991090118735	43.3697984766544	80.980419313314	52.0083748739154	38.8049959564305	61.6352653533954
HIT 5282	65.6396962997082	228.106425162686	439.709040720424	44.0661593605557	46.0388757051328	40.0209762027073	37.4255296097322	35.4519452408494	50.571795987624	40.7585405467226	48.1109058408547	35.1935693714337	37.1278478235341	35.0507591305086	44.423008040567	41.6305550039915	276.825491314641	188.601329087225	39.7034091805121	186.275628574127
HIT 5283	203.281214162587	582.606010180569	1560.14056612857	49.3212896057525	47.4686479556313	42.4415957207833	38.7168189855839	36.2663670529379	57.9074004878682	82.2433979951951	47.1975078297894	44.2516374193488	37.4990299749378	34.6874940267844	48.2434418970451	44.7936797669214	1129.83559387429	731.801088527448	38.5231108892319	901.915032285183
HIT 5286	337.429184287203	336.151416601916	1656.74549567666	1096.39864608747	355.019147261303	57.7181057412194	1240.28411940597	73.9056076874443	453.871395801424	548.886158346075	166.387569732266	374.045358487659	42.050301389489	37.5594461633457	66.7905744283645	40.5915922035749	1049.99246095737	204.930183684757	219.13321372945	664.755894168872
HIT 5288	56.037176819534	84.2990390064734	62.0011522563893	49.097228425174	48.6309575626978	46.1566653129482	98.6014575362366	37.4980083020638	62.1622918135302	46.3512100895449	48.0365015760964	56.9143022127864	38.8084793942909	37.4248571074563	42.1098021022705	42.328177307479	82.6050374811856	37.9686099961279	40.2820672758942	56.2175140344171
HIT 5289	392.544316663399	462.929581027834	154.523048647255	82.4159880371014	49.0187610222681	45.1242445844337	719.760867866914	38.4415015453189	132.888428513615	47.921821292426	54.0449008182859	358.760812039741	38.659837748396	37.3895885003015	43.808242724274	48.6457159488137	95.7536130744346	41.4072686909382	39.5689184192112	111.517066539302
HIT 5292	76.4537667725841	204.312860343026	174.890627409332	53.6719803377308	48.8765957489613	42.6724339345875	134.274811296963	35.9633209794355	72.9644965706667	41.3498509413356	48.2946011798463	46.7386635836664	37.2380107745343	35.2945084761904	42.8511606445881	45.5147913532057	90.3031417506648	54.4115408458929	39.9309776281089	200.944772132003
HIT 5293	54.9199789103336	64.2198061317611	84.760808027525	46.450205487383	372.861971445669	42.0206015439035	68.7467114420369	38.5968826884856	58.5219766283327	1623.17416814602	53.8401212416141	39.7402501241425	37.1036112538055	39.4729218604917	55.9787279104465	44.0388662190806	105.143278756026	80.6294488980713	327.775769157553	383.113956197954
HIT 5294	39.5238580964799	36.3345097500873	52.7944009035056	43.5755146954678	47.5025357884674	42.8047112926568	37.4954205807366	36.0657934742614	47.6623215363046	41.2427120678413	42.5691827845982	37.170526825421	37.5868014606265	35.5569941804599	41.7057506788378	56.6340180110377	71.5766155362805	38.4522885260016	42.4269401204575	44.6389001420537
HIT 5295	70.1466408645883	72.3089665103773	118.910369066579	81.0083030310742	1696.12737536448	66.818974871211	102.115528436655	68.7565865433751	120.47503693572	4357.46368090189	76.7921014572792	74.8683805671887	51.6141097103526	52.3476923301504	53.9025283196867	68.6292276532386	151.772168021292	304.538957526324	990.002468372663	479.423322545766
HIT 53	283.82303056531	37.4693663163472	62.369404850127	43.7487376280808	49.0360566502235	42.8613569241535	36.9156839343793	35.0567301302382	51.3770974141072	36.8157658164526	44.0674532920319	33.437603723224	36.4890924247696	34.738044938193	43.1822337521823	40.8504779506773	75.7581378696675	39.1234657201499	39.3515916727738	41.00517055053
HIT 5300	80.7704794683681	400.985324314799	163.912580191927	46.9996493518873	61.7078037209212	42.462369416829	49.3773833379851	36.2985919024931	48.432910835878	37.7720567648439	50.795852730823	61.2850092999283	37.5049782300196	34.7354763027618	42.6427600810709	45.991235310632	95.3367022479323	42.5904250855135	37.8487523826606	48.0142886965177
HIT 5301	2105.59458117831	7630.26440086361	1211.43199662273	45.9057505899098	448.812109877121	46.8156962677651	139.60790023915	37.7431161297809	58.3437388588826	79.4856813837997	161.882733033657	293.04994516472	38.5462020622027	39.6623369647563	52.6889679907366	41.0100884243055	220.32678425977	97.2299629963978	38.3537833872008	170.227385020904
HIT 5306	1927.4319270841	4313.33549196738	919.69540936001	44.3150303095723	44.2569276956513	44.9945946089484	1995.80535684034	35.1909049438064	93.8933952048773	39.0924541580548	91.1121364433708	98.750410791248	37.3923761262813	36.0593765194588	44.9616081267195	61.2382115483157	701.906872367401	350.395445035687	38.0440797749134	4169.4468292461
HIT 5307	3077.28898819822	10137.6438655742	2102.73948563728	42.9478436314382	46.2237063898728	39.4108671737869	3528.91827316162	35.2076445895895	77.3828598694814	39.7420091976936	192.285897733616	111.701391699962	38.8139908100216	35.8319459783366	43.635714834363	94.284967913049	886.334330884733	602.397385166096	38.2202644012124	7328.24652426919
HIT 5311	156.224281244334	138.439917875705	121.020603667198	46.0617047524552	52.197964956868	48.4490116575166	37.2809263349924	35.2343149453569	43.3311164459889	42.8329270566533	111.069880800379	148.314904042172	36.5541155485598	35.8609455791697	44.008854936893	42.6695913425881	348.354412883351	116.422122934515	37.9982358276148	115.744981628756
HIT 5312	37.122904582404	35.2174658515805	54.9820361244897	43.843825086004	46.835010661917	51.3662989870593	36.7769265190297	35.0068847002606	45.8274373795065	39.9242299676659	44.787456157391	35.8406749734016	37.1457062181946	35.1900331361636	41.8769136068832	40.5573578349974	69.1615134828417	38.2752300224667	38.2062191109137	39.4944528042853
HIT 5313	813.337790994353	535.49300739384	441.040439023826	54.4771096859965	56.2333825935842	43.220910548116	42.8570291514855	36.1715076174955	50.3048953167343	45.0720799145823	390.860853365487	414.094251604242	37.1098600699899	36.5774838645273	53.5655688794144	44.3889243043811	1229.01067811432	374.503521119803	38.2894891275724	243.249733059887
HIT 5316	76.4863080120474	241.537134359337	155.461233999957	48.11186986953	98.0776928034827	42.3577585043152	40.5160864274793	35.3812933023952	51.3231691298134	42.2863001946975	60.4650096161689	43.8644661219233	37.4851702677179	35.8727812237983	42.4217937119122	43.8712942016694	174.757895314812	55.6970788398595	36.8014520203253	275.627634351678
HIT 5317	41.0212385503812	41.710524340758	68.5270931051303	49.8676509514638	44.0752996900613	46.6039944272173	39.9114108818749	37.908412029794	47.7999337572795	43.055034111614	49.6297072984154	37.3084572392966	38.2823458832339	41.6853009732739	53.6459892586785	45.1085173095677	72.1679542293586	42.2887172589786	39.1468989039928	45.6998342358692
HIT 532	38.3231761718695	37.0774272188429	62.2465674358148	43.0434186156718	45.4326341345189	44.7323732708956	733.725178491365	35.7111630832058	47.2504930172983	41.7040946515431	44.9626679097749	35.838015798184	37.4279443496985	35.9742686912354	43.3424558171273	44.0249960773148	70.6678951122264	42.6093311272454	44.6602963513698	44.9036076788927
HIT 5322	95.317813877629	282.763091752726	189.733470137564	100.922744585043	52.9628319704353	47.112222162055	124.486005846412	94.25897770299	82.6876468511965	47.7738498387787	79.0775041182693	49.6821299079797	44.8041926105781	35.7850649367895	49.5795234694265	304.634110150248	697.009735899652	68.0274170401382	44.5236191822307	410.74304250096
HIT 5323	226.818501748217	41.5300123881268	86.587954128967	164.920123521815	49.0796358258213	43.6609025999328	201.035207024326	36.2208696216495	334.299532511803	44.5796811738793	57.6121243860795	1529.06094088181	37.8056768011332	38.3300162294418	52.7589136632701	45.0970916339055	117.583949727724	38.1879372485536	38.8991505182996	186.081340605538
HIT 5324	660.02096400894	95.4896659546578	135.076850141246	673.323928482829	78.0353323429248	41.9330422676438	500.834774157978	37.0592603637358	1610.16092110656	422.26363377194	75.8565235178228	2984.80399353517	38.0703944055812	37.1912699102321	44.2533736488212	303.029279211537	106.611544308808	39.0792230959443	145.531173178206	571.446290991343
HIT 5326	47.738662538147	37.9990477477127	91.0569261948057	82.9519003725134	74.9760804579121	44.7414131911829	47.7237026825783	37.6199884590889	60.7132805596837	556.357826153555	50.5921686042394	92.9602184790337	37.1030953343665	36.8022519494265	45.153324212132	40.5664861032371	70.8696045039202	43.146240443308	42.3548119017067	795.838248399954
HIT 5327	37.4667421122854	36.1851091542309	52.5357519179264	42.2984718474873	42.5761485183655	50.6352382133044	36.4627419640944	35.4596698547602	46.7004038453889	39.0441231444018	44.5889756081589	35.7302368251887	35.80839234336	35.9685521270438	41.4122067291029	42.1475170328965	68.6056684911021	64.3975767785775	35.782491154161	39.7374947600606
HIT 5328	97.9545385365017	176.851174396365	2607.36847695401	140.290636851313	378.256462601487	42.1926082259497	84.443402796593	37.8474347076873	130.347892250099	390.346856838834	77.7412212134392	150.338845191964	42.3926667495318	36.955185216365	45.0663479484461	42.2204221216232	114.659220927388	46.4783237796278	39.7597163039707	202.619426072101
HIT 533	55.8664789435785	50.4313482746539	698.463439077276	46.7746232836889	48.5983655567555	41.1425973161314	13339.2667128795	35.5080082371458	51.3022865176033	38.2517253670963	48.7172470066606	36.0390710690661	36.8057667207247	36.0553733406687	43.7262225949019	41.3803019491515	82.8871537862702	40.2291740765698	637.195669615031	95.5856364319013
